#,Eng,Urd,Categories,"Possible option for ""(..)"""
RI-01,Please keep your hands and feet inside the ride at all times.,براہ کرم ہر وقت اپنے ہاتھ پاؤں سواری کے اندر رکھیں۔,Ride instructions (RI),
RI-02,Please ensure you have fasten your seatbelt.,براہ کرم یقینی بنائیں کہ آپ نے اپنی سیٹ بیلٹ باندھ رکھی ہے۔,Ride instructions (RI),
RI-03,Please do not unbuckle your safety restraint until the ride comes to a complete stop.,براہ کرم اپنی حفاظتی پابندی کو اس وقت تک نہ کھولیں جب تک کہ سواری مکمل طور پر رک نہ جائے۔,Ride instructions (RI),
RI-04,Please do not stand up or attempt to exit the ride until it has fully come to a stop.,براہ کرم اس وقت تک کھڑے نہ ہوں یا سواری سے باہر نکلنے کی کوشش نہ کریں جب تک کہ یہ مکمل طور پر رک نہ جائے۔,Ride instructions (RI),
RI-05,Please remain seated throughout the entire ride.,براہ کرم پوری سواری میں بیٹھے رہیں۔,Ride instructions (RI),
RI-06,Hold on tight - this ride can be bumpy!,مضبوطی سے پکڑو - یہ سواری مشکل ہوسکتی ہے!,Ride instructions (RI),
RI-07,Do not throw objects from the ride.,سواری سے اشیاء نہ پھینکیں۔,Ride instructions (RI),
RI-08,Do not eat or drink on the ride.,سواری پر نہ کھائیں اور نہ پییں۔,Ride instructions (RI),
,,,,
ExI-01,Please don't touch this (item),براہ کرم اس (item) کو ہاتھ نہ لگائیں,Exhibition instructions (ExI),"painting,decoration, glass"
ExI-02,Do not tap on the glass of animal enclosures.,جانوروں کے باڑوں کے شیشے پر ٹیپ نہ کریں۔,Exhibition instructions (ExI),
ExI-03,Do not touch the animals.,جانوروں کو مت چھونا,Exhibition instructions (ExI),
ExI-04,Do not enter animal enclosures.,جانوروں کے باڑوں میں داخل نہ ہوں۔,Exhibition instructions (ExI),
ExI-05,Do not climb on animal enclosures.,جانوروں کے باڑوں پر نہ چڑھیں۔,Exhibition instructions (ExI),
ExI-06,Do not feed the animals.,جانوروں کو مت کھلایں,Exhibition instructions (ExI),
ExI-07,Do not disturb (the animals).,(جانوروں) کو پریشان نہ کریں,Exhibition instructions (ExI),"the panda, "
,,,,
GA-01,"Ladies and gentlemen, welcome to [park name].",خواتین و حضرات، [park name] میں خوش آمدید۔,General announcements (GA),
GA-02,Please be aware that the park will be closing in [number of] minutes.,براہ کرم آگاہ رہیں کہ پارک [number] منٹ میں بند ہو جائے گا۔,General announcements (GA),
